phish_attachment,phish_link,social_contact,macro_exec,powershell_exec,signed_binary_proxy,dll_sideload,scheduled_task,new_service,credential_access,valid_accounts_use,smb_lateral,rdp_lateral,ssh_lateral,network_discovery,defense_evasion,packed_payload,c2_beaconing,cloud_exfil,crypto_targeting,failed_login_burst,outbound_conn_count,rare_parent_child_score,offhours_activity_score,archive_attachment_kb,script_chain_depth,target
1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,8,17,0.441,0.712,1566,4,1
0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,10,0.332,0.549,978,1,0
0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,5,17,0.958,0.649,1287,4,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,20,0.341,0.277,470,2,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,4,12,0.34,0.312,720,2,0
0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,10,0.358,0.209,353,1,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,11,0.186,0.269,809,2,0
0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,4,14,0.11,0.076,404,1,0
0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,5,13,0.386,0.237,626,1,0
1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,6,26,0.741,0.784,265,6,1
1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,7,29,0.899,0.796,2026,2,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,13,0.505,0.565,792,2,0
0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,8,22,0.596,0.186,1722,3,1
1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,5,31,0.349,0.772,601,2,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,12,0.563,0.236,967,2,0
1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,12,0.099,0.197,709,1,0
0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,5,13,0.206,0.172,687,1,0
0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,6,15,0.166,0.156,475,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,12,0.336,0.094,652,2,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,5,14,0.083,0.111,101,2,0
1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,6,20,0.911,0.787,1514,5,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,10,0.433,0.331,894,2,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0.102,0.096,750,2,0
1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,3,8,0.059,0.643,494,2,0
1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,9,19,0.738,0.873,574,3,1
1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,3,25,0.923,0.566,1592,5,1
0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,3,8,0.412,0.512,882,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,5,0.214,0.079,746,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,0.284,0.342,84,3,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,15,0.094,0.072,602,1,0
0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,4,14,0.006,0.612,957,1,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11,0.185,0.304,893,3,0
1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,7,15,0.373,0.049,971,3,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2,12,0.588,0.681,826,2,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,16,0.221,0.22,317,1,0
1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,9,27,0.598,0.635,1296,5,1
1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5,16,0.225,0.323,148,3,0
1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,11,16,0.633,0.642,2101,6,1
1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,12,0.311,0.091,955,2,0
1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,6,22,0.641,0.849,1878,7,1
1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,6,18,0.68,0.721,293,4,1
1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,9,22,0.877,0.741,1393,5,1
1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,9,26,0.484,0.274,1469,6,1
1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,15,0.528,0.109,421,3,0
1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,11,24,0.802,0.492,1518,4,1
1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,14,0.087,0.166,548,3,0
0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,9,18,0.844,0.461,918,6,1
1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,10,0.076,0.118,604,1,0
0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,2,10,0.195,0.17,862,2,0
1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,19,0.371,0.772,1907,7,1
1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,5,14,0.094,0.381,147,3,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,11,0.016,0.211,803,1,0
0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,3,27,0.887,0.731,1603,5,1
0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,15,0.27,0.141,173,2,0
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,5,11,0.339,0.437,425,2,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,9,0.134,0.17,222,2,0
0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,17,0.585,0.817,1814,5,1
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,11,0.096,0.129,267,3,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,4,16,0.054,0.356,279,3,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18,0.604,0.155,433,2,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0.206,0.186,949,2,0
0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,15,0.215,0.152,808,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,11,0.208,0.418,856,3,0
1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,7,25,0.803,0.856,1341,4,1
0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,11,0.655,0.518,657,2,0
0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,4,19,0.321,0.559,554,3,0
0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,16,0.212,0.462,822,1,0
0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,3,10,0.142,0.603,990,2,0
0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,13,0.077,0.317,725,1,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,16,0.048,0.544,717,1,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,21,0.147,0.173,492,2,0
0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,16,0.156,0.017,314,1,0
1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,8,24,0.587,0.917,2223,2,1
1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,7,24,0.956,0.395,451,2,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,17,0.439,0.533,548,2,0
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,17,0.305,0.444,368,1,0
1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,3,21,0.163,0.354,87,3,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,15,0.249,0.21,931,2,0
0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,4,20,0.875,0.763,1632,6,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,16,0.154,0.224,308,1,0
0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,3,26,0.982,0.2,2031,2,1
1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,6,15,0.582,0.588,2078,6,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,18,0.095,0.429,571,2,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,8,13,0.633,0.147,941,3,0
1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,15,0.13,0.056,89,3,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,9,0.309,0.176,322,3,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,10,0.228,0.128,832,2,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0.348,0.399,641,1,0
1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,4,21,0.684,0.751,2035,3,1
1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,7,20,0.683,0.641,990,5,1
1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,3,21,0.917,0.434,1100,7,1
1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,3,29,0.608,0.611,983,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,15,0.375,0.318,244,1,0
0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,11,0.212,0.248,813,3,0
1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,4,18,0.887,0.958,653,3,1
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,11,0.154,0.124,761,1,0
1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,8,23,0.789,0.763,272,6,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,15,0.009,0.219,634,1,0
0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,17,0.229,0.365,821,1,0
0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,19,0.165,0.643,970,1,0
1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,6,18,0.795,0.968,1401,5,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,12,0.57,0.466,662,2,0
0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,8,12,0.126,0.365,661,2,0
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,6,17,0.898,0.661,573,2,1
1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,7,19,0.743,0.928,836,7,1
0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,7,22,0.483,0.655,2276,7,1
0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,10,22,0.574,0.5,2039,5,1
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,3,14,0.194,0.362,553,2,0
1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,10,17,0.759,0.772,1905,4,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,6,28,0.78,0.816,517,7,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,20,0.235,0.08,279,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,13,0.266,0.202,209,3,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,15,0.102,0.378,405,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,9,0.147,0.297,778,2,0
1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,22,0.872,0.734,448,4,1
1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,17,0.244,0.114,294,1,0
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4,11,0.139,0.284,258,3,0
1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,22,0.711,0.586,1300,7,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,13,0.268,0.253,838,2,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,17,0.275,0.159,948,1,0
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,18,0.23,0.774,126,2,0
1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,13,0.439,0.412,483,2,0
0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,5,24,0.737,0.539,646,4,1
1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2,10,0.516,0.194,782,1,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,11,0.309,0.284,159,1,0
1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,5,23,0.699,0.723,229,7,1
1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,4,15,0.201,0.212,450,1,0
1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,3,24,0.814,0.432,972,7,1
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,21,0.829,0.314,1312,3,1
1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,8,18,0.944,0.883,759,6,1
1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,12,29,0.88,0.814,1609,5,1
1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,27,0.863,0.876,2340,3,1
1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,7,16,0.642,0.873,550,7,1
0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,3,15,0.248,0.293,287,3,0
1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,4,21,0.384,0.578,1346,6,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,14,0.155,0.26,482,1,0
0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,4,13,0.59,0.692,1833,4,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,12,0.13,0.466,567,2,0
1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,9,26,0.446,0.904,927,3,1
1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,15,0.293,0.369,659,1,0
1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,8,20,0.382,0.395,2318,2,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,12,0.15,0.445,489,2,0
0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0.43,0.278,603,2,0
0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,5,22,0.883,0.731,1961,2,1
1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,13,0.477,0.237,439,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,7,0.475,0.203,636,1,0
0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,12,0.453,0.366,887,1,0
1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,6,21,0.932,0.609,587,7,1
1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,5,25,0.971,0.473,231,2,1
0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,4,21,0.537,0.128,559,1,0
0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,7,13,0.293,0.506,906,1,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,19,0.265,0.249,600,3,0
1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,8,29,0.7,0.708,1224,3,1
0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,8,9,0.558,0.515,154,1,0
1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,4,26,0.486,0.62,198,4,1
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,3,22,0.086,0.269,976,3,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0.189,0.225,869,1,0
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,15,0.477,0.629,834,3,0
1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,2,14,0.183,0.068,305,1,0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5,15,0.247,0.311,125,2,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,13,0.498,0.44,324,1,0
0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,11,17,0.958,0.398,2068,4,1
0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,17,0.572,0.193,529,1,0
1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,7,23,0.953,0.714,1220,3,1
0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,9,0.254,0.265,787,1,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,13,0.178,0.47,285,3,0
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,9,0.379,0.184,792,3,0
1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,10,22,0.528,0.826,1721,7,1
0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2,12,0.188,0.422,969,2,0
1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,11,0.273,0.799,877,3,0
0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,4,17,0.764,0.56,2021,6,1
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,8,0.287,0.436,299,1,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,11,0.208,0.327,784,2,0
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,8,0.27,0.077,439,2,0
0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,6,20,0.862,0.774,1407,4,1
1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,7,15,0.486,0.753,848,2,1
1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,25,0.801,0.876,667,4,1
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,16,0.187,0.363,712,1,0
1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,2,16,0.387,0.588,403,3,0
1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,8,22,0.675,0.614,1061,6,1
0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,6,26,0.678,0.603,898,2,1
1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,23,0.222,0.266,384,1,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,5,13,0.344,0.51,495,3,0
0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,13,0.154,0.318,917,3,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,11,0.422,0.567,839,2,0
0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,6,14,0.703,0.613,1731,4,1
0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,10,20,0.82,0.479,462,3,1
