lines,functions,complexity,commits,developers,label
227,4,3.8630134679298154,39,10,1
417,10,6.974828022119203,50,10,1
78,2,2.297072520699869,32,5,1
343,8,7.0985185303659835,29,5,1
45,7,6.90206332364072,9,3,1
482,10,2.6854246787189595,34,8,1
418,17,7.298142984947344,4,2,1
50,10,8.010658033324042,4,4,1
113,19,2.731550203210578,35,2,1
262,18,3.4834287977597693,20,1,1
110,9,6.987687841026677,39,6,1
132,10,8.449661880284562,40,6,1
74,13,9.805333538996502,50,4,1
281,19,7.1847874407264,14,1,1
402,19,7.382068394266527,15,9,1
342,11,5.983702777702784,10,1,1
310,13,6.9635715408628425,5,1,1
24,1,7.403543098890585,39,9,1
146,20,4.038971448631786,22,5,1
141,17,9.023029573635311,34,3,1
343,17,5.6762478522627235,4,3,1
142,5,6.3084718456513915,6,2,1
458,14,4.5235056327254055,15,3,1
381,19,8.311812510682252,21,6,1
180,4,4.405296651485317,34,3,1
330,13,9.35077529975885,35,1,1
428,4,8.793352533306074,20,8,1
366,1,4.325844874751395,5,7,1
115,17,9.483779163500252,12,7,1
325,20,3.104697888578086,29,10,1
183,4,6.023575814937783,19,1,1
333,7,3.3222514494879425,11,7,1
85,5,3.510028163514929,15,8,1
415,8,9.573209837881302,11,5,1
93,11,3.102792020637512,50,6,1
133,12,9.807849756790146,24,8,1
342,14,5.291435334655652,22,10,1
348,8,8.539992019822176,17,5,1
452,12,6.793006030144872,46,5,1
169,18,2.0236279313494117,17,7,1
35,18,4.0046566624748365,41,9,1
333,19,2.836606084322988,38,10,1
346,9,4.9592191019620175,30,10,1
466,14,3.8877209762758063,32,2,1
461,2,6.802951349747807,45,7,1
271,14,6.508654620423512,9,8,1
57,8,2.7424066388359627,38,7,1
252,18,4.406455214100034,34,3,1
155,3,8.22299132950976,10,3,1
258,5,6.458159556313481,33,8,1
442,18,2.746649621217995,36,7,1
382,12,1.199405006439806,33,6,1
374,11,1.9040502602031144,5,4,1
45,16,5.790557496815969,42,6,1
478,9,5.819892666436718,5,3,1
76,7,3.9853388347087355,25,10,1
339,18,2.510931229551662,19,3,1
218,2,3.699438435927565,14,6,1
469,9,6.996886187719861,10,7,1
455,12,8.132944674272437,16,4,1
230,2,9.974128123828361,5,1,1
137,8,7.534071304042081,38,7,1
232,14,5.075535467798061,50,9,1
312,7,5.340651666773737,32,5,1
60,12,9.918777252601796,12,8,1
250,19,7.374377645537739,35,4,1
423,5,2.2406818288690586,15,6,1
110,2,5.214810930679294,32,5,1
352,10,1.1147639215667309,23,6,1
217,8,2.4487791193238806,12,3,1
268,19,3.2734179420885754,19,7,1
114,8,9.0251708793769,26,5,1
428,2,5.121324400874806,6,10,1
143,10,2.566167420541134,38,9,1
402,19,8.739932911205933,32,10,1
147,13,5.180298769412722,12,6,1
383,7,9.62780892109221,16,4,1
230,4,8.627680942785798,32,9,1
311,19,9.723319406438758,22,1,1
188,20,4.2534735017707535,44,2,1
41,13,3.2909230158334513,17,6,1
328,15,7.2936963896052465,12,10,1
41,8,8.086847865057083,8,2,1
26,4,2.7701104676610675,43,9,1
170,14,3.401923009445432,24,9,1
186,8,4.921605121510476,7,6,1
61,12,3.6770613614929153,30,3,1
482,13,8.580749030730797,29,6,1
400,1,3.9440224792076326,5,1,1
411,7,4.434804863301885,38,9,1
305,16,8.882437607056245,11,7,1
409,10,7.9099436797954485,15,4,1
68,6,6.647684608181709,12,8,1
95,11,6.3733609843659815,13,6,1
378,5,4.711979576499012,22,5,1
275,2,6.2818348457046636,17,9,1
467,3,8.027604775508712,39,2,1
415,6,4.517170068050241,28,1,1
194,4,5.451132197276195,16,4,1
278,20,1.560800169433518,37,5,1
135,14,8.400740009500439,14,8,1
497,1,6.719566414697246,38,6,1
145,11,6.298395705200686,2,8,1
224,18,5.649981080545355,47,3,1
234,3,8.909837728014658,25,4,1
478,11,4.228928026595319,48,3,1
107,18,6.076641219849905,30,7,1
290,8,5.681431639867944,1,1,1
412,8,4.632004228174046,42,8,1
413,5,9.590330394379434,33,8,1
487,19,8.75977182377001,22,9,1
338,4,9.598182685020513,44,4,1
494,10,1.8941367053115794,39,8,1
478,19,9.129175048216663,26,6,1
103,19,8.871323931709462,40,3,1
233,5,7.610492859068181,46,10,1
78,11,1.3176833547202733,5,5,1
109,14,7.49660330075165,6,5,1
170,7,2.371916303766021,18,10,1
286,3,8.649645742843749,5,5,1
191,5,4.208865548974239,31,7,1
56,10,9.852597602422502,41,6,1
467,10,9.03059328901691,22,2,1
426,8,6.4659153883442295,40,4,1
145,3,4.044517916956521,42,3,1
420,6,2.6766951019502003,30,4,1
34,20,7.088280590050249,13,3,1
422,1,5.381191278143443,26,9,1
366,5,4.713987605305944,11,4,1
105,6,8.887825275078244,26,2,1
426,11,6.066078293849249,3,7,1
189,8,8.598703657265634,18,2,1
253,14,2.67755740162952,48,4,1
276,19,9.253223542442893,35,6,1
332,6,1.1687613893461277,32,2,1
158,1,8.773880706100698,46,4,1
53,11,5.319398088692789,31,3,1
304,10,3.4906895019730095,8,3,1
221,15,4.182156533360947,5,4,1
469,4,3.573451564687867,38,5,1
114,5,5.410612135426621,42,3,1
315,14,4.778560735326522,27,3,1
309,20,3.3188428764558706,3,5,1
261,15,6.31314273243115,26,10,1
456,15,4.766870248381775,49,9,1
303,10,3.663042910330456,10,9,1
425,16,6.1003692647198084,16,4,1
237,17,3.5115417852448068,12,8,1
372,5,8.55940399901279,23,10,1
473,10,4.329061111602995,32,2,1
387,8,3.342474370069849,41,7,1
485,16,6.390954903579429,15,1,1
352,17,8.923193590424148,17,4,1
474,11,5.478858530239448,14,10,1
405,4,8.802151792716163,36,7,1
309,14,1.1502601079084673,46,6,1
100,16,5.990874939307184,7,10,1
150,2,6.890134534072945,33,10,1
269,8,1.7967850415527973,32,9,1
481,18,1.9322315915302286,26,3,1
151,20,5.222894089915234,9,10,1
241,11,5.533052730686051,34,9,1
265,11,2.267027714207684,8,4,1
54,5,3.6979804317865046,15,8,1
102,5,5.6926404318868356,10,2,1
329,14,9.486037298705881,17,10,1
33,3,7.897136300466823,50,6,1
450,15,1.0993359647409664,41,1,1
244,7,3.8887521070048305,42,9,1
397,1,6.560296525415521,4,6,1
106,20,8.497983543181222,19,3,1
452,10,2.967292702937901,33,4,1
497,18,7.619918301250001,26,5,1
329,18,9.541678307457724,48,8,1
300,2,8.959640291204314,49,9,1
271,6,6.311518394138252,15,8,1
136,3,1.713677157442268,31,8,1
356,17,5.395923803293304,41,2,1
122,19,5.760655218744365,26,1,1
272,1,9.55115627289857,42,8,1
318,18,5.093114497042878,28,5,1
327,7,6.806132868248014,10,2,1
231,16,8.441520006510665,39,1,1
95,11,4.582724921970366,25,6,1
417,15,9.909852454610004,10,1,1
404,17,7.815791552099904,19,5,1
300,13,3.260094613066582,14,10,1
190,17,1.0441818441396218,16,5,1
156,19,1.5821649052133144,39,8,1
118,6,6.384238368776845,9,6,1
450,18,7.828873455650431,15,2,1
378,17,1.1048826847431203,19,10,1
201,15,8.514256440210517,26,4,1
255,4,9.105992352470327,50,5,1
431,10,1.8075896802535047,26,3,1
459,12,5.559930548357615,20,10,1
454,14,7.763940914477792,49,2,1
391,8,4.245410822147585,5,4,1
65,19,3.6247493383795844,47,10,1
436,1,3.0867230376704837,36,10,1
127,8,1.0701445464937005,24,5,1
245,20,6.8879490570365345,41,4,1
331,14,3.788309033090534,20,1,1
295,4,5.558209752392793,1,6,1
380,1,4.206514638683495,1,1,1
168,15,3.5414567106412704,30,5,1
137,4,8.100134148544473,40,7,1
55,7,1.9045270335253246,4,10,1
226,11,9.701496979614667,41,9,1
416,13,5.715925013776548,25,6,1
75,4,1.6034963287193913,15,7,1
330,19,7.579583344566809,16,2,1
265,5,2.091125129328594,40,5,1
41,4,2.484011273752759,44,3,1
112,20,5.79901599133509,23,7,1
288,9,6.187282538583574,14,9,1
106,13,3.5321847247411107,27,8,1
155,2,8.37846100006906,26,8,1
118,7,1.8993538317211938,3,6,1
57,11,8.194298953634688,3,7,1
324,4,3.565434870449076,47,8,1
197,17,6.2207497129934985,30,6,1
57,19,3.0039037898058636,49,4,1
241,16,2.3630542171078996,44,9,1
53,5,9.981766162400934,15,10,1
466,5,8.086315366438114,25,6,1
407,6,5.723534315010374,14,7,1
223,3,1.7410863279792734,43,2,1
29,8,2.877955326505467,19,4,1
367,8,1.3514735211583981,4,7,1
280,10,1.5658006539176736,12,9,1
130,5,6.415423415860703,44,9,1
434,1,6.532193605438953,45,10,1
267,20,8.968426829746804,21,3,1
388,1,9.19326842589245,4,9,1
486,15,7.5729967723587235,50,4,1
87,8,9.163052755718159,6,1,1
91,14,8.027436279817165,19,6,1
482,18,6.738502663976744,32,6,1
481,13,6.117075499852437,28,6,1
333,10,4.260457648311565,5,7,1
32,16,7.114161071206544,34,7,1
423,7,9.098612215499552,17,10,1
217,8,9.287764335941796,3,10,1
29,13,9.329023655333534,40,4,1
246,9,7.3268685614892,50,3,1
414,19,3.387285776150511,35,1,1
92,4,1.950447751505407,48,5,1
252,13,5.428478772831722,2,7,1
211,17,9.042424041087129,16,8,1
130,4,9.39410573412236,48,6,1
78,3,2.7529206557587793,30,5,1
399,1,7.269473947261181,1,7,1
111,4,8.809458135376484,25,6,1
199,16,7.207133924339773,14,6,1
272,18,2.109979542024895,31,1,1
257,20,8.680563689855127,9,1,1
116,4,4.792939971309739,1,4,1
166,2,2.5006710092386286,9,1,1
188,14,5.245076731274327,25,1,1
486,3,6.425026730941234,44,7,1
498,11,1.1409931098720343,39,9,1
299,2,5.507682870888577,45,9,1
445,18,4.667019921968361,24,4,1
453,12,8.931189136514032,47,8,1
290,13,7.389940478622883,49,5,1
53,3,7.018600427902257,20,3,1
305,11,8.30300843662138,23,4,1
263,7,7.780209829248911,12,7,1
128,1,7.485726330476221,34,3,1
265,11,5.679404445328401,39,9,1
161,10,1.977142898064248,3,1,1
438,4,2.330196143101321,36,7,1
266,15,9.657227334911841,24,2,1
231,19,6.563129821554756,18,10,1
95,17,3.1153734469139227,3,9,1
360,6,5.572632831402309,22,4,1
286,10,8.813916814179661,24,10,1
276,9,2.9779553475069696,45,10,1
176,14,3.656861121598914,8,6,1
194,3,7.489884137377974,45,1,1
381,13,9.598971703848548,32,10,1
204,1,4.139617836987222,10,1,1
261,13,8.0317122236577,1,9,1
337,16,4.608561328565969,30,7,1
160,16,3.114191877952839,50,6,1
291,12,6.550195722701823,19,4,1
215,14,8.040913165623316,28,8,1
321,18,2.7685215128336216,1,9,1
187,20,2.36395879996832,31,10,1
171,2,3.9007443366661745,47,8,1
447,1,9.491061908944575,5,6,1
469,4,5.931533297977725,29,3,1
488,1,9.772379012084427,26,7,1
424,6,9.77558063478375,43,7,1
202,13,7.624813826685375,45,1,1
207,12,6.331080623865695,2,4,1
322,15,4.79024499814966,6,9,1
248,17,6.2378108914812085,28,10,1
464,13,5.537697481908475,4,1,1
262,17,4.013626998560228,46,6,1
444,19,3.696691222319861,1,5,1
438,18,3.9769862058139362,7,5,1
269,10,4.497445241422774,1,5,1
127,18,5.902524183766937,4,6,1
46,8,3.425485033829937,15,10,1
292,4,6.4439041686400556,23,2,1
294,3,5.631268302225645,20,9,1
423,18,7.939956031765898,50,3,1
72,1,6.836454534198919,3,4,1
267,7,8.456040500814574,20,7,1
248,8,6.042433311077351,19,5,1
184,15,7.293821936603135,4,2,1
96,8,2.239666821117197,27,9,1
491,3,8.490305773487687,15,10,1
328,17,1.9804951190856879,11,9,1
211,5,2.7261524623307136,17,7,1
207,19,8.52184529340272,22,1,1
465,14,9.185452627286992,9,6,1
368,9,2.6717297122516563,41,4,1
51,7,1.8607928557967368,4,2,1
103,1,6.307702441415869,39,8,1
347,17,5.078608142407753,27,4,1
304,15,7.189218726634581,31,5,1
453,18,2.6115365167250824,47,7,1
356,9,9.60262312742139,19,5,1
498,8,4.44740302544203,47,10,1
425,6,6.4735189475785955,26,2,1
156,4,3.314096152359857,45,1,1
304,3,6.060672679108551,7,7,1
97,19,6.843311353251206,20,10,1
299,15,5.166720239834892,38,10,1
284,18,1.2020555802229704,29,7,1
54,1,4.657335442968484,4,4,1
241,3,3.875469542875071,2,2,1
135,4,2.1644258209010054,27,5,1
372,3,1.4089559858777987,13,8,1
243,5,7.8460307032000145,5,8,1
225,20,5.970961580759787,44,5,1
304,20,2.6826580312890043,21,7,1
276,11,7.836578761000113,16,4,1
257,19,5.2981411451057685,28,7,1
92,3,8.999743230553536,30,3,1
38,3,5.9672076374597065,3,3,1
197,9,3.952075446011543,44,6,1
188,19,8.884868082681443,21,4,1
134,17,8.305877398326265,18,8,1
36,16,2.3656489920363364,13,10,1
91,12,4.380435970931227,44,9,1
406,7,6.260409431637231,12,10,1
91,13,5.262409275555109,42,6,1
72,6,5.295296044260342,13,2,1
490,3,3.0872123396711695,8,2,1
496,9,9.888492668371388,17,4,1
52,10,4.316318973926214,6,1,1
145,2,5.19400348706178,11,1,1
427,12,4.634032384237124,3,9,1
260,9,5.297221554107297,3,8,1
142,13,8.73896497732532,7,10,1
169,8,9.102606282377083,1,9,1
382,6,1.7913645035112755,41,7,1
304,14,7.842068189642608,3,10,1
348,13,1.4037283231449642,19,2,1
377,14,3.5233565186082583,23,7,1
28,18,6.550236809980117,1,3,1
239,11,5.8724127151754555,50,7,1
399,7,4.133114287792956,48,6,1
389,8,5.879456455979627,24,4,1
186,2,8.214922762382646,36,5,1
313,16,3.683044625207635,8,2,1
174,6,5.499851384793198,10,8,1
124,16,6.813074138437663,30,6,1
248,2,7.033120613782066,8,7,1
269,10,9.822106279439453,16,1,1
267,1,1.652642335873065,17,1,1
265,10,9.929407835362504,14,8,1
478,7,3.7891952233594113,50,9,1
238,7,2.934156691112788,38,6,1
52,14,2.929425938950993,24,5,1
417,18,1.0362561800886114,3,2,1
271,1,2.359764791483758,49,4,1
52,15,5.386393725917836,32,8,1
445,18,5.574432849799058,23,4,1
83,8,4.098624859199031,24,3,1
173,20,6.577145079888824,43,2,1
77,14,2.8631216816799188,35,9,0
467,4,5.553158391601769,50,4,0
61,10,7.207600962941178,6,3,0
129,6,7.837122951055097,19,8,0
156,8,7.291142488935543,39,8,0
109,17,7.691178953609041,8,1,0
34,16,5.92135128709937,8,3,0
215,10,2.3345696053708997,22,6,0
108,19,7.683742951768209,9,6,0
323,9,8.796760858943763,44,1,0
355,2,8.435017084548157,33,9,0
226,9,5.984250709217366,46,1,0
95,3,2.9090596292865865,11,5,0
155,19,9.312724787574068,16,6,0
94,15,3.643786045742896,43,6,0
396,9,9.131036970752582,16,4,0
114,11,2.5489507795379476,12,10,0
102,16,7.08959031510354,5,7,0
152,11,8.472585029699182,18,1,0
152,7,9.649020492168384,28,2,0
463,18,7.432834369605643,9,5,0
468,7,7.283599567694837,16,4,0
238,2,9.391748668465496,14,8,0
102,6,7.1296717242512955,24,8,0
273,19,9.113711926330486,6,3,0
337,17,3.189504820947774,14,2,0
242,17,3.5770883200049592,24,4,0
72,17,1.3679200045992763,42,10,0
236,20,4.356266841122864,14,4,0
209,3,7.076513845006903,2,3,0
189,6,7.390659299139637,7,2,0
189,18,1.0164812206629659,43,2,0
466,8,5.897752507850762,13,7,0
263,20,3.7608822763756584,38,2,0
333,3,2.7922933494970836,47,2,0
438,13,3.8204972313658505,13,8,0
301,18,8.27175422620046,38,9,0
85,18,8.884789812685288,30,10,0
192,20,9.698460456019347,47,2,0
473,2,9.44353392054636,47,3,0
252,18,7.502631291418741,10,6,0
499,4,6.745427446084724,42,7,0
35,17,9.103170634719671,39,4,0
430,16,9.973551523458916,20,6,0
32,15,2.3537670744377803,20,8,0
311,20,4.353803233402205,9,8,0
179,13,8.393213454872459,32,7,0
75,14,3.366810141084602,30,5,0
309,17,3.788482011748803,41,6,0
125,8,6.883062157050638,17,2,0
283,9,8.596701700239798,23,2,0
393,13,6.0786092189202705,19,6,0
234,5,5.936639402399115,46,1,0
487,16,5.218913963238171,25,8,0
272,13,8.545829581977646,49,8,0
423,10,1.9139879484473128,11,2,0
413,2,8.663677116891094,8,7,0
385,2,3.325226579086444,39,2,0
442,14,8.42166115342355,7,5,0
419,13,1.8969577001638265,33,8,0
191,16,6.789608619826731,11,1,0
40,3,5.687144164502841,5,8,0
276,10,3.671304834648299,1,7,0
176,9,7.141158474531952,46,7,0
161,13,8.388113284204595,8,9,0
267,9,1.2946466790918074,45,10,0
219,6,1.3508444811611775,9,9,0
62,16,4.85510770449742,42,2,0
303,5,7.186285885409871,22,6,0
242,20,7.4114175838826135,14,10,0
351,14,4.589837495933119,18,4,0
137,18,2.4760483955978345,11,10,0
122,12,7.560431915809662,15,2,0
145,6,8.461566259615324,39,10,0
375,12,9.804941898836931,23,1,0
44,14,2.9980125107770492,16,6,0
328,6,9.24463778818059,23,10,0
39,1,4.546208158682896,35,7,0
178,19,2.6031013552903364,3,4,0
71,20,2.846658878774408,50,3,0
404,2,2.2183798892136593,23,3,0
242,4,1.731691397735128,16,4,0
138,10,6.09918362708987,13,5,0
302,18,5.831510024455644,1,8,0
317,12,1.286120047295999,45,1,0
288,17,6.22455720898147,13,3,0
40,10,6.700233176682436,12,4,0
133,18,9.801420735184331,50,6,0
78,18,5.634417036560036,17,5,0
113,6,1.113540477082489,31,8,0
341,10,4.191352164360316,27,10,0
306,20,6.036486044605921,17,1,0
437,6,5.198359387789043,29,8,0
120,1,6.718224903660566,50,8,0
122,4,3.336847301131186,39,7,0
358,10,6.355228958928692,4,5,0
299,20,7.670040249149476,39,8,0
358,2,6.39217711873157,48,10,0
391,13,4.252221199391251,24,8,0
84,1,8.983753070137615,45,4,0
375,3,2.552672061970714,26,2,0
255,8,6.466414386983005,4,6,0
199,12,5.419500929945777,47,6,0
70,6,4.563904709264483,39,7,0
152,14,7.881299143498645,13,1,0
394,16,6.337624310241945,24,9,0
299,13,5.670726247358723,12,7,0
195,19,6.296002093031294,43,2,0
239,17,9.695290898586803,14,3,0
362,14,1.8898854102224436,9,1,0
177,1,6.819878751100337,41,7,0
80,11,6.026343419635331,17,7,0
363,5,4.452476986479705,11,1,0
416,7,3.6173673665602264,1,3,0
242,15,9.953412998582476,13,4,0
479,7,7.1301062974591884,36,2,0
240,17,6.2343716268766585,11,8,0
403,16,3.8382733388928423,9,2,0
263,15,8.021637545399104,48,10,0
232,13,2.1861985521945297,50,7,0
72,13,3.614515395478083,24,5,0
182,20,5.346779202823525,36,3,0
486,12,2.677895833138763,16,3,0
232,5,1.303486852287954,31,9,0
200,3,9.576331691164073,34,6,0
20,4,9.855860521225729,7,5,0
178,6,8.539978397055009,7,5,0
96,18,8.835954279888924,18,3,0
253,14,1.5179068432322333,21,6,0
287,16,8.67166446338059,1,6,0
78,17,2.1240674696349076,15,5,0
450,9,9.361576257473082,22,6,0
452,2,8.476891622708179,23,6,0
300,6,8.644873675374617,28,10,0
152,14,7.605609721439202,49,4,0
32,19,8.033454387365877,22,8,0
208,12,7.545701846614173,26,1,0
352,2,9.592981057317633,47,10,0
255,16,5.010620400965238,14,9,0
307,15,8.315561800272748,44,9,0
351,3,2.973305307078854,5,1,0
173,14,6.354561007342525,46,4,0
378,4,9.115344571171125,1,10,0
70,11,1.2550574172915323,29,1,0
346,2,2.0876003437012423,38,9,0
163,17,1.0565396371053963,9,10,0
166,5,5.695991467275688,7,1,0
86,17,6.725217705907083,45,4,0
196,12,1.2408062035589724,21,8,0
31,10,2.9139645525565987,45,1,0
404,10,6.940172514302345,10,2,0
381,16,2.660268903353411,6,9,0
242,2,2.8442230008680247,26,6,0
356,14,3.5826572749632266,22,4,0
127,16,9.100879341024523,15,1,0
489,20,4.618857418328441,9,4,0
271,11,1.0128347678539458,23,4,0
140,3,3.0295692487300316,42,8,0
99,4,1.0569303691427816,47,4,0
474,14,2.8301900075094495,28,7,0
121,6,7.821341766587819,49,10,0
249,12,3.0189582192087436,15,9,0
237,18,2.1134037378099553,46,9,0
311,18,1.617611628442805,23,10,0
490,15,9.21160073973041,23,1,0
208,15,7.734156248091547,17,4,0
473,4,5.179287750544696,13,3,0
467,8,2.59858310849925,7,1,0
211,9,6.758614317764939,34,10,0
345,16,2.5762397396068257,21,8,0
420,4,7.995545032485773,47,6,0
301,7,3.0558813594242245,9,2,0
37,2,8.353787271503808,23,2,0
152,18,6.396170976902855,5,2,0
113,7,7.0808599193485025,50,1,0
373,19,9.16608397709913,43,3,0
274,4,3.4586068487544344,4,3,0
474,16,1.2312455894652987,40,10,0
253,18,6.743849841944056,11,4,0
133,6,9.510120120056557,45,9,0
331,14,8.56723946177075,41,4,0
355,12,7.581249576426921,33,9,0
76,3,9.128007162145618,39,9,0
309,12,9.146460208102491,18,6,0
320,19,3.5475911416217425,16,8,0
111,3,7.041171659998749,15,6,0
464,8,1.3131606818285628,31,8,0
259,7,8.893999382662049,48,2,0
107,17,4.22865981228799,23,6,0
183,6,3.6383235489985273,41,9,0
469,17,6.681355192627637,18,7,0
466,18,8.321210410841683,12,2,0
146,3,8.287815097984577,27,4,0
158,2,6.590600960895048,47,6,0
370,20,6.594826171893536,18,3,0
195,1,3.1906474637349658,50,6,0
33,3,8.389374710076009,34,1,0
346,16,7.594939487584108,32,6,0
66,18,3.3861643656668585,35,8,0
175,19,6.465836820250437,27,8,0
303,15,8.319365245843324,21,8,0
96,16,2.927211602571549,19,3,0
479,3,6.70571848722225,19,3,0
285,17,7.530166527999958,1,4,0
488,1,1.8482706579676291,25,10,0
305,13,4.39485868336366,12,6,0
306,12,2.699108455314125,47,9,0
452,19,5.371547180322066,11,9,0
281,9,2.469821006781483,47,3,0
54,11,7.805071225684158,41,6,0
493,3,9.876621197651279,13,1,0
96,16,1.41626270191628,15,10,0
290,20,7.9376622889022554,38,5,0
111,6,1.3818456378259996,47,1,0
257,4,6.684998401630119,31,1,0
157,5,2.021345715923405,17,5,0
369,16,6.044832520999841,3,3,0
115,3,4.778496448005693,2,1,0
383,8,5.8828994441256235,28,7,0
208,1,7.656466612906659,15,8,0
25,17,1.1769167620730874,23,3,0
120,2,3.3839975790158814,47,1,0
190,2,8.278496883275366,46,5,0
324,3,9.467568559985272,1,8,0
282,19,2.684151286959751,45,1,0
276,3,1.5191250791572974,43,3,0
376,16,1.85248276043575,16,8,0
283,7,9.842004506209186,40,5,0
144,7,1.804093950349988,48,10,0
72,20,6.411050839940877,48,7,0
218,16,8.369058868240622,46,4,0
80,13,8.143778812790998,7,9,0
173,6,7.537409622655673,32,2,0
204,17,1.4451204935471056,34,9,0
93,13,6.884349431583969,6,1,0
444,14,5.253342907538574,29,5,0
421,6,7.466667312451683,21,4,0
227,8,5.729190423047922,25,4,0
155,4,3.1582562913186045,49,9,0
444,8,3.5174067057132516,4,8,0
355,5,6.590560339040553,24,4,0
129,20,8.98444205115262,21,9,0
185,2,2.167320716559514,10,5,0
286,8,2.591880726400575,12,4,0
450,11,6.648138149428183,26,3,0
428,5,5.683963266286529,50,5,0
121,14,6.610213899986902,49,2,0
306,1,2.9598205349931934,35,3,0
343,14,8.351496712197605,18,8,0
207,14,1.7374089050759323,1,7,0
24,6,6.907197422385448,27,7,0
210,1,5.705273099252462,23,6,0
154,8,6.147963698986539,26,10,0
184,2,8.396885197695337,6,2,0
398,4,2.218622066512267,18,6,0
45,19,2.7756752405790697,8,8,0
191,3,1.850148097037719,29,3,0
35,9,7.484577659361779,41,1,0
295,1,7.7590642398593666,5,6,0
120,8,2.5545267403835115,8,5,0
21,8,6.8302808105509785,18,9,0
53,9,3.1256037752370665,35,5,0
136,17,6.495686840963346,14,1,0
391,20,5.915564027138421,44,6,0
